"routeid","vehicleid","t1","lon1","lat1","t2","lon2","lat2","bear","tdiff","p_index1","p_index2","bear","p_lon1","p_lat1","p_lon2","p_lat2","dist","speed"
1054553,39186,2017-07-22 04:47:13,24.0586733,49.78875,2017-07-22 04:48:17,24.058815,49.7855766,178.348629529405,64,863,873,177.566187460535,24.05865,49.78876,24.05886,49.78557,0.356112146168289,20.0313082219663
1054553,39186,2017-07-22 04:48:17,24.058815,49.7855766,2017-07-22 04:49:13,24.0593833,49.7850083,147.151323356929,56,874,882,157.900097261618,24.05886,49.78557,24.0592423006,49.7849621139,0.09295440626925,5.97564040302321
1054553,39186,2017-07-22 04:50:15,24.058865,49.7931616,2017-07-22 04:51:13,24.055305,49.7956633,317.430368525018,58,37,51,318.543282842928,24.0587913885,49.7930850979,24.0554335638,49.7955387328,0.383849209011504,23.8251233179554
1054553,39186,2017-07-22 04:51:13,24.055305,49.7956633,2017-07-22 04:52:14,24.048845,49.7990016,308.682301173149,61,53,72,308.571060900424,24.05503517285,49.7957715496,24.0488138719,49.7989737322,0.575147178593355,33.94311217928
1054553,39186,2017-07-22 04:52:14,24.048845,49.7990016,2017-07-22 04:53:13,24.046865,49.8047333,347.431509638074,59,75,94,348.794522369584,24.0482130571,49.7992992135,24.046520583225,49.804813011625,0.641803121395913,39.1608684241574
1054553,39186,2017-07-22 04:53:13,24.046865,49.8047333,2017-07-22 04:54:14,24.045445,49.80456,259.292531363839,61,874,875,225.415083121827,24.05886,49.78557,24.05875,49.7855,0.0110813867437,0.653983479956066
1054553,39187,2017-07-19 23:48:48,24.0007449,49.8373083,2017-07-19 23:49:48,24.0014233,49.83681,138.71428006465,60,488,491,124.283615211094,24.000819764875,49.837280652225,24.0016499086,49.8369156389,0.0733637065672395,4.40182239403437
1054553,39187,2017-07-19 23:49:48,24.0014233,49.83681,2017-07-19 23:50:48,24.0042883,49.8372383,76.9489672157336,60,492,503,81.9609641016762,24.0016499086,49.8369156389,24.0042553256,49.8371529415,0.213300139500397,12.7980083700238
1054553,39187,2017-07-19 23:50:48,24.0042883,49.8372383,2017-07-19 23:51:48,24.0081516,49.8387516,58.7260735892735,60,504,512,59.6032844508959,24.0042553256,49.8371529415,24.0080816953,49.8386005323,0.318697684467551,19.1218610680531
1054553,39187,2017-07-19 23:51:48,24.0081516,49.8387516,2017-07-19 23:52:48,24.0144449,49.8410816,60.1385755271141,60,526,528,55.8267226611241,24.0129128796,49.8404325851,24.0143149986,49.8410464819,0.122003171800512,7.32019030803074
1054553,39187,2017-07-19 23:52:48,24.0144449,49.8410816,2017-07-19 23:53:48,24.0175466,49.8423816,56.9787438205295,60,526,537,57.1870220692648,24.0129128796,49.8404325851,24.017592658,49.8423783974,0.401502343706105,24.0901406223663
1054553,39187,2017-07-19 23:53:48,24.0175466,49.8423816,2017-07-19 23:54:48,24.0242383,49.8440366,69.0149071521882,60,545,561,69.2553983212318,24.019199818675,49.842752128575,24.0243610594,49.8440126481,0.411810040381122,24.7086024228673
1054553,39187,2017-07-20 00:02:49,24.025655,49.8440666,2017-07-20 00:03:49,24.0258316,49.8438966,146.181510631844,60,568,569,159.114429066252,24.02561,49.84407,24.0257665841625,49.8438053673625,0.0315304922955792,1.89182953773475
1054553,39187,2017-07-20 00:03:49,24.0258316,49.8438966,2017-07-20 00:04:55,24.02631,49.8427166,165.347824475146,66,570,573,159.113988390916,24.0257665841625,49.8438053673625,24.0263929208125,49.8427468368125,0.126122188545855,6.87939210250117
1054553,39187,2017-07-20 00:04:55,24.02631,49.8427166,2017-07-20 00:05:49,24.02791,49.8404133,155.867690988619,54,574,581,157.37710175754,24.0263929208125,49.8427468368125,24.027833633,49.8405172235,0.269129914683742,17.9419943122495
1054553,39187,2017-07-20 00:05:49,24.02791,49.8404133,2017-07-20 00:06:48,24.0281833,49.840055,153.806139685909,59,582,583,152.145417086526,24.027833633,49.8405172235,24.0281823202,49.84009169,0.0535778430673264,3.26915652614195
1054553,39187,2017-07-20 00:06:48,24.0281833,49.840055,2017-07-20 00:07:48,24.0292866,49.8393,136.696615471002,60,584,589,134.786079902626,24.0281823202,49.84009169,24.029265932575,49.839398027425,0.114978116643649,6.89868699861894
1054553,39187,2017-07-20 00:07:48,24.0292866,49.8393,2017-07-20 00:08:49,24.0327166,49.8391949,92.7188168969086,61,590,601,100.621523532329,24.029265932575,49.839398027425,24.0322037113,49.8390426734,0.231136026196107,13.6408146607538
1054553,39187,2017-07-20 00:13:48,24.0353816,49.8340633,2017-07-20 00:14:48,24.0348116,49.8318883,189.594750924626,60,631,640,190.109448665682,24.03532,49.83409,24.0346933136,49.83182280925,0.258332939376698,15.4999763626019
1054553,39187,2017-07-20 00:14:48,24.0348116,49.8318883,2017-07-20 00:15:48,24.0327483,49.8294966,209.095763961905,60,631,650,199.94983726011,24.03532,49.83409,24.0326616092,49.8293656258,0.595894969852258,35.7536981911355
1054553,39187,2017-07-20 00:15:48,24.0327483,49.8294966,2017-07-20 00:16:48,24.0337166,49.8268583,166.679779988627,60,651,661,165.247590833467,24.0326616092,49.8293656258,24.0337290086,49.8267506558,0.351129968139841,21.0677980883905
1054553,39187,2017-07-20 00:16:48,24.0337166,49.8268583,2017-07-20 00:17:48,24.033425,49.8252633,186.726497046783,60,662,667,187.849869609526,24.0337290086,49.8267506558,24.0334371836,49.8253851502,0.153675336430096,9.22052018580577
1054553,39187,2017-07-20 00:17:48,24.033425,49.8252633,2017-07-20 00:18:48,24.0333016,49.8240483,183.74880774729,60,662,671,183.781356802412,24.0337290086,49.8267506558,24.03345864125,49.82411159435,0.295680909962678,17.7408545977607
1054553,39187,2017-07-20 00:18:48,24.0333016,49.8240483,2017-07-20 00:19:49,24.0311416,49.8220066,214.315609552419,61,686,687,254.294466560255,24.0315308069,49.82213133975,24.0308216138,49.8220026795,0.0529091278191488,3.12250590408091
1054553,39187,2017-07-20 00:19:49,24.0311416,49.8220066,2017-07-20 00:20:49,24.0276216,49.820605,238.319703837882,60,687,696,239.871054365931,24.03117621035,49.822067009625,24.0277665245,49.8207902585,0.296878839486406,17.8127303691843
1054553,39187,2017-07-20 00:20:49,24.0276216,49.820605,2017-07-20 00:21:49,24.02499,49.8181233,214.379805321493,60,697,708,212.484824360321,24.0277665245,49.8207902585,24.0251889749,49.8181781994,0.346265474957171,20.7759284974303
1054553,39187,2017-07-20 00:21:49,24.02499,49.8181233,2017-07-20 00:22:49,24.02673,49.81664,142.877664564089,60,719,722,120.834195513778,24.0261545701,49.816875414,24.02661,49.8167,0.0397605962606,2.385635775636
1054553,39187,2017-07-20 00:22:49,24.02673,49.81664,2017-07-20 00:23:49,24.0306166,49.8154899,114.635108496385,60,723,734,114.45397502344,24.02661,49.8167,24.030671410125,49.81550818115,0.320557028471763,19.2334217083058
1054553,39187,2017-07-20 00:23:49,24.0306166,49.8154899,2017-07-20 00:24:49,24.0357366,49.8138266,116.721438190832,60,759,760,117.367034207764,24.0389384726,49.81260993255,24.0397769452,49.8123298651,0.0678211496309054,4.06926897785432
